datetime,value
2025-10-06 07:00:00,3.61
2025-10-06 08:00:00,3.93
2025-10-06 09:00:00,3.81
2025-10-06 10:00:00,3.82
2025-10-06 11:00:00,3.69
2025-10-06 12:00:00,3.75
2025-10-06 13:00:00,3.09
2025-10-06 14:00:00,2.57
2025-10-06 15:00:00,2.58
2025-10-06 16:00:00,4.79
2025-10-06 17:00:00,3.97
2025-10-06 18:00:00,5.15
2025-10-06 19:00:00,6.72
2025-10-06 20:00:00,6.97
2025-10-06 21:00:00,6.55
2025-10-06 22:00:00,6.82
2025-10-06 23:00:00,5.71
2025-10-07 00:00:00,5.73
2025-10-07 01:00:00,5.54
2025-10-07 02:00:00,5.43
2025-10-07 03:00:00,5.17
2025-10-07 04:00:00,5.03
2025-10-07 05:00:00,4.87
2025-10-07 06:00:00,5.92
2025-10-07 07:00:00,10.43
2025-10-07 08:00:00,23.29
2025-10-07 09:00:00,30.71
2025-10-07 10:00:00,27.88
2025-10-07 11:00:00,23.34
2025-10-07 12:00:00,17.71
2025-10-07 13:00:00,10.87
2025-10-07 14:00:00,6.08
2025-10-07 15:00:00,4.87
2025-10-07 16:00:00,6.42
2025-10-07 17:00:00,7.48
2025-10-07 18:00:00,7.19
2025-10-07 19:00:00,11.03
2025-10-07 20:00:00,18.6
2025-10-07 21:00:00,27.1
2025-10-07 22:00:00,28.7
2025-10-07 23:00:00,22.79
2025-10-08 00:00:00,20.13
2025-10-08 01:00:00,19.38
2025-10-08 02:00:00,18.97
2025-10-08 03:00:00,17.84
2025-10-08 04:00:00,14.79
2025-10-08 05:00:00,15.44
2025-10-08 06:00:00,17.86
2025-10-08 07:00:00,20.33
2025-10-08 08:00:00,25.18
2025-10-08 09:00:00,25.02
2025-10-08 10:00:00,23.94
2025-10-08 11:00:00,20.45
2025-10-08 12:00:00,14.2
2025-10-08 13:00:00,9.72
2025-10-08 14:00:00,9.58
2025-10-08 15:00:00,8.76
2025-10-08 16:00:00,9.06
2025-10-08 17:00:00,8.08
2025-10-08 18:00:00,7.76
2025-10-08 22:00:00,6.76
2025-10-08 23:00:00,2.37
2025-10-09 00:00:00,2.79
2025-10-09 01:00:00,2.96
2025-10-09 02:00:00,2.23
2025-10-09 03:00:00,2.48
2025-10-09 04:00:00,2.66
2025-10-09 05:00:00,2.67
2025-10-09 06:00:00,3.25
2025-10-09 07:00:00,3.78
2025-10-09 08:00:00,5.47
2025-10-09 09:00:00,3.49
2025-10-09 10:00:00,1.85
2025-10-09 11:00:00,2.43
2025-10-09 12:00:00,2.03
2025-10-09 13:00:00,2.63
2025-10-09 14:00:00,2.4
2025-10-09 15:00:00,3.41
2025-10-09 16:00:00,2.39
2025-10-09 17:00:00,3.56
2025-10-09 18:00:00,4.53
2025-10-09 19:00:00,4.71
2025-10-09 20:00:00,3.99
2025-10-09 21:00:00,4.12
2025-10-09 23:00:00,5.85
2025-10-10 01:00:00,5.61
2025-10-10 02:00:00,7.29
2025-10-10 03:00:00,8.97
2025-10-10 04:00:00,10.58
2025-10-10 05:00:00,11.43
2025-10-10 06:00:00,13.5
